slot_type_code	slot_type
evt140arg03beneficiary	Transaction.TransferOwnership.BorrowLend_Beneficiary
evt141arg03recipient	Transaction.TransferOwnership.EmbargoSanction_Recipient
evt142arg03beneficiary	Transaction.TransferOwnership.GiftGrantProvideAid_Beneficiary
evt143arg03beneficiary	Transaction.TransferOwnership.Purchase_Beneficiary
evt144arg03beneficiary	Transaction.Transaction.TransferControl_Beneficiary
evt001arg04place	ArtifactExistence.DamageDestroy_Place
evt002arg04place	ArtifactExistence.DamageDestroy.Damage_Place
evt003arg04place	ArtifactExistence.DamageDestroy.Destroy_Place
evt004arg04place	Conflict.Attack_Place
evt005arg04place	Conflict.Attack.AirstrikeMissileStrike_Place
evt006arg04place	Conflict.Attack.BiologicalChemicalPoisonAttack_Place
evt007arg04place	Conflict.Attack.Bombing_Place
evt008arg04place	Conflict.Attack.FirearmAttack_Place
evt009arg04place	Conflict.Attack.Hanging_Place
evt010arg04place	Conflict.Attack.Invade_Place
evt011arg04place	Conflict.Attack.SelfDirectedBattle_Place
evt012arg04place	Conflict.Attack.SetFire_Place
evt013arg04place	Conflict.Attack.Stabbing_Place
evt014arg04place	Conflict.Attack.StealRobHijack_Place
evt015arg04place	Conflict.Attack.Strangling_Place
evt035arg04place	Contact.FuneralVigil_Place
evt036arg04place	Contact.FuneralVigil.Meet_Place
evt057arg04place	Disaster.AccidentCrash.AccidentCrash_Place
evt070arg04place	Government.Spy.Spy_Place
evt071arg04result	Government.Vote_Result
evt072arg04result	Government.Vote.CastVote_Result
evt073arg04ballot	Government.Vote.ViolationsPreventVote_Ballot
evt079arg04place	Justice.ArrestJailDetain.ArrestJailDetain_Place
evt080arg04crime	Justice.InitiateJudicialProcess_Crime
evt081arg04crime	Justice.InitiateJudicialProcess.ChargeIndict_Crime
evt082arg04crime	Justice.InitiateJudicialProcess.TrialHearing_Crime
evt084arg04place	Justice.Investigate.InvestigateCrime_Place
evt085arg04place	Justice.JudicialConsequences_Place
evt086arg04place	Justice.JudicialConsequences.Convict_Place
evt087arg04place	Justice.JudicialConsequences.Execute_Place
evt088arg04origin	Justice.JudicialConsequences.Extradite_Origin
evt090arg04place	Life.Die.DeathCausedByViolentEvents_Place
evt095arg04place	Life.Injure.InjuryCausedByViolentEvents_Place
evt096arg04place	Manufacture.Artifact_Place
evt097arg04place	Manufacture.Artifact.Build_Place
evt098arg04place	Manufacture.Artifact.CreateIntellectualProperty_Place
evt099arg04place	Manufacture.Artifact.CreateManufacture_Place
