DocID     RunID             Language Metatype GoldClusterID      SystemClusterID   TypeSimilarity
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31133 cluster-NILV30035         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31134 cluster-NILV30054         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31135 cluster-NILV30055         1.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31136 None                      0.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31137 None                      0.0000
L0C0499MZ example-task1-run SPA      Event    cluster-NILQV31138 None                      0.0000
ALL-Micro example-task1-run RUS      Entity                                                0.7568
ALL-Micro example-task1-run RUS      Event                                                 0.5460
ALL-Micro example-task1-run RUS      ALL                                                   0.6931
ALL-Micro example-task1-run SPA      Entity                                                0.8790
ALL-Micro example-task1-run SPA      Event                                                 0.6957
ALL-Micro example-task1-run SPA      ALL                                                   0.8556
ALL-Micro example-task1-run ALL      Entity                                                0.8557
ALL-Micro example-task1-run ALL      Event                                                 0.6343
ALL-Micro example-task1-run ALL      ALL                                                   0.8186
ALL-Macro example-task1-run RUS      Entity                                                0.7568
ALL-Macro example-task1-run RUS      Event                                                 0.5460
ALL-Macro example-task1-run RUS      ALL                                                   0.6931
ALL-Macro example-task1-run SPA      Entity                                                0.8790
ALL-Macro example-task1-run SPA      Event                                                 0.6957
ALL-Macro example-task1-run SPA      ALL                                                   0.8556
ALL-Macro example-task1-run ALL      Entity                                                0.8179
ALL-Macro example-task1-run ALL      Event                                                 0.6208
ALL-Macro example-task1-run ALL      ALL                                                   0.7743
